Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,TotalPages,TotalDuration,AvgTimePerPage,VisitorType_Weekend
8,5.321056853517526,1,0.0,3.7612001156935624,6.959778307049289,0.0,0.004545455,3.646943773790383,0.0,Nov,2,2,5,2,Returning_Visitor,False,3.9512437185814275,7.136483208590247,24.627450980392158,Returning_Visitor_False
0,0.0,0,0.0,3.4339872044851463,6.804934744727583,0.0,0.007333333,3.5595796547991756,0.0,Dec,2,2,7,2,New_Visitor,False,3.4339872044851463,6.804934744727583,30.04296296333333,New_Visitor_False
0,0.0,0,0.0,2.6390573296152584,6.045400180852578,0.0,0.028205128,0.0,0.8,May,1,1,1,2,Returning_Visitor,False,2.6390573296152584,6.045400180852578,32.3974359,Returning_Visitor_False
2,3.713572066704308,0,0.0,1.791759469228055,6.32704352775198,0.0,0.028571429,0.0,0.0,Mar,2,2,7,2,New_Visitor,True,2.0794415416798357,6.396095974467569,85.5,New_Visitor_True
0,0.0,0,0.0,2.833213344056216,7.377925561215492,0.0,0.013333333,0.0,0.0,May,4,2,2,13,Returning_Visitor,False,2.833213344056216,7.377925561215492,99.9541666875,Returning_Visitor_False
5,4.390738575275903,0,0.0,3.332204510175204,6.958971070366407,0.00862069,0.016896552,2.3153638469164797,0.0,Oct,2,5,1,13,Returning_Visitor,False,3.4965075614664802,7.031962082436324,35.3515625,Returning_Visitor_False
11,7.403421117071253,0,0.0,2.833213344056216,7.523391266920374,0.0,0.013636364,2.4665189304373074,0.0,Mar,1,1,2,3,Returning_Visitor,False,3.332204510175204,8.158065024213084,129.27497192592594,Returning_Visitor_False
3,4.414009680526933,0,0.0,2.302585092994046,7.205783643488062,0.0,0.016666667,0.0,0.0,Nov,2,2,2,3,New_Visitor,False,2.5649493574615367,7.264590210122234,118.98333333333333,New_Visitor_False
8,4.842085141123199,0,0.0,2.0794415416798357,4.414816457537195,0.033333333,0.024166667,0.0,0.0,Sep,2,2,1,1,Returning_Visitor,False,2.772588722239781,5.339459309735258,13.826666664666668,Returning_Visitor_False
3,4.941642422609304,0,0.0,2.3978952727983707,5.628134856162803,0.0,0.007692308,0.0,0.0,Mar,3,2,1,2,Returning_Visitor,True,2.6390573296152584,6.033428746104274,32.01098900769231,Returning_Visitor_True
0,0.0,0,0.0,1.0986122886681098,2.995732273553991,0.0,0.1,0.0,0.0,May,1,1,3,3,Returning_Visitor,False,1.0986122886681098,2.995732273553991,9.5,Returning_Visitor_False
1,2.70805020110221,0,0.0,2.0794415416798357,5.146039931102459,0.0,0.025,0.0,0.0,Nov,1,1,1,2,New_Visitor,False,2.1972245773362196,5.224401683597868,23.09375,New_Visitor_False
1,0.0,0,0.0,2.0794415416798357,3.6375861597263857,0.083333333,0.108333333,0.0,0.6,May,1,1,2,4,Returning_Visitor,False,2.1972245773362196,3.6375861597263857,4.625,Returning_Visitor_False
0,0.0,0,0.0,0.6931471805599453,0.0,0.2,0.2,0.0,0.0,Nov,1,1,1,20,Returning_Visitor,False,0.6931471805599453,0.0,0.0,Returning_Visitor_False
12,6.606932842733579,1,2.833213344056216,3.091042453358316,7.186945796262431,0.009032258,0.025133361,4.373813017206854,0.0,Mar,2,2,1,8,Returning_Visitor,False,3.5553480614894135,7.638809035749372,61.06671736470588,Returning_Visitor_False
7,4.603168183317418,0,0.0,1.791759469228055,4.254193263163997,0.022222222,0.033333333,0.0,0.0,Jul,3,2,2,5,New_Visitor,True,2.5649493574615367,5.1310814471721224,14.016666666666666,New_Visitor_True
8,5.062595033026967,4,4.110873864173311,3.2188758248682006,7.084645445778885,0.015151515,0.033760684,1.9005472221431572,0.0,May,2,2,1,7,Returning_Visitor,False,3.6109179126442243,7.251699530442051,39.15277777777778,Returning_Visitor_False
0,0.0,0,0.0,2.0794415416798357,6.502790045915623,0.0,0.014285714,0.0,0.0,Feb,1,1,6,2,Returning_Visitor,False,2.0794415416798357,6.502790045915623,95.14285714285714,Returning_Visitor_False
0,0.0,0,0.0,2.70805020110221,5.338339041057651,0.042857143,0.083333333,0.0,0.6,May,2,2,7,11,Returning_Visitor,False,2.70805020110221,5.338339041057651,14.79761905,Returning_Visitor_False
0,0.0,0,0.0,1.3862943611198906,4.700480365792417,0.0,0.033333333,0.0,0.0,May,3,2,4,4,Returning_Visitor,True,1.3862943611198906,4.700480365792417,36.333333333333336,Returning_Visitor_True
0,0.0,0,0.0,0.6931471805599453,0.0,0.2,0.2,0.0,0.0,Nov,1,8,1,11,Returning_Visitor,False,0.6931471805599453,0.0,0.0,Returning_Visitor_False
0,0.0,0,0.0,1.0986122886681098,6.003887067106539,0.0,0.1,0.0,0.0,May,2,2,6,13,Returning_Visitor,False,1.0986122886681098,6.003887067106539,202.0,Returning_Visitor_False
10,5.692701493054973,0,0.0,3.4011973816621555,6.667560120568294,0.0,0.001481481,3.583287430271269,0.0,May,2,2,5,4,Returning_Visitor,True,3.6888794541139363,6.986722098772735,27.72226704871795,Returning_Visitor_True
1,3.7471483622379123,0,0.0,3.4339872044851463,6.53029436728357,0.019354839,0.041935484,0.0,0.0,Aug,2,2,5,1,Returning_Visitor,False,3.4657359027997265,6.588926477533519,23.419354838709676,Returning_Visitor_False
0,0.0,0,0.0,2.4849066497880004,5.817111159963204,0.036363636,0.060606061,0.0,0.0,Nov,3,2,1,13,Returning_Visitor,True,2.4849066497880004,5.817111159963204,30.454545454545453,Returning_Visitor_True
0,0.0,0,0.0,1.3862943611198906,0.0,0.2,0.2,0.0,0.0,Jul,1,2,8,1,Returning_Visitor,False,1.3862943611198906,0.0,0.0,Returning_Visitor_False
1,2.917770732084279,0,0.0,2.1972245773362196,5.099866427824199,0.0,0.011111111,0.0,0.0,Mar,3,2,1,2,New_Visitor,True,2.302585092994046,5.201255653704905,20.055555555555557,New_Visitor_True
0,0.0,0,0.0,3.258096538021482,6.373319789577012,0.0,0.016,0.0,0.0,Mar,4,1,1,3,Returning_Visitor,False,3.258096538021482,6.373319789577012,23.4,Returning_Visitor_False
1,3.407841924380824,0,0.0,2.0794415416798357,4.338597076746545,0.0,0.025,0.0,0.0,Aug,1,1,4,2,New_Visitor,True,2.1972245773362196,4.661550519424199,13.1,New_Visitor_True
4,4.400603020246817,0,0.0,3.332204510175204,6.160151912626133,0.0,0.015384615,0.0,0.0,Dec,4,1,3,1,Returning_Visitor,True,3.4657359027997265,6.317164686747284,17.838709677419356,Returning_Visitor_True
0,0.0,0,0.0,2.3978952727983707,5.707110264748875,0.0,0.05,0.0,0.0,Mar,2,2,1,1,Returning_Visitor,False,2.3978952727983707,5.707110264748875,30.0,Returning_Visitor_False
0,0.0,0,0.0,1.9459101490553132,4.436751534363128,0.0,0.066666667,0.0,0.0,Nov,1,1,3,10,Returning_Visitor,False,1.9459101490553132,4.436751534363128,13.916666666666666,Returning_Visitor_False
1,3.367295829986474,4,5.093750200806762,3.1780538303479458,6.492366089625781,0.013580247,0.020440917,3.0963147259261827,0.0,May,2,2,8,1,Returning_Visitor,False,3.367295829986474,6.745334383855306,30.324404760714287,Returning_Visitor_False
0,0.0,0,0.0,3.258096538021482,7.322195860085635,0.0,0.024,0.0,0.0,Mar,2,2,3,11,Returning_Visitor,False,3.258096538021482,7.322195860085635,60.500952399999996,Returning_Visitor_False
2,6.448150724720543,0,0.0,3.5263605246161616,5.883014607981085,0.0,0.007894737,0.0,0.0,Oct,3,2,7,4,Returning_Visitor,False,3.58351893845611,6.89712180050776,28.24065306,Returning_Visitor_False
0,0.0,0,0.0,4.060443010546419,6.995771537242754,0.007017544,0.027875244,0.0,0.0,Nov,2,2,6,2,Returning_Visitor,False,4.060443010546419,6.995771537242754,19.14045396491228,Returning_Visitor_False
2,2.6390573296152584,0,0.0,2.995732273553991,6.459009799833385,0.00952381,0.042857143,2.6483556374808694,0.0,Nov,2,2,1,3,Returning_Visitor,False,3.091042453358316,6.479167753409259,30.972789114285714,Returning_Visitor_False
3,4.0163830207523885,0,0.0,1.9459101490553132,5.0089672369955585,0.022222222,0.033333333,0.0,0.0,Nov,3,2,1,3,Returning_Visitor,False,2.302585092994046,5.319344733740112,22.583333333333332,Returning_Visitor_False
8,4.069026754237811,0,0.0,3.8066624897703196,6.741503902326315,0.004255319,0.012765957,3.010499297868021,0.6,May,2,2,1,3,Returning_Visitor,False,3.970291913552122,6.807198023953963,17.371794871153845,Returning_Visitor_False
0,0.0,0,0.0,2.3978952727983707,5.552959584921617,0.0,0.01,0.0,0.0,May,2,5,2,2,Returning_Visitor,False,2.3978952727983707,5.552959584921617,25.7,Returning_Visitor_False
2,4.5217885770490405,0,0.0,4.553876891600541,8.455274473781392,0.0,0.017659574,0.0,0.0,Nov,2,2,5,2,Returning_Visitor,True,4.574710978503383,8.474451945686083,49.893712802083336,Returning_Visitor_True
